# HPLC Chromatogram Data
# Sample: Test compound mixture
# Instrument: HPLC-UV (eLabFTW Equipment ID: EQUIP-12345)
# Experiment: eLabFTW Experiment #67890 (https://your-elabftw-instance.org/experiments.php?mode=view&id=67890)
# Date: 2025-01-15
# Method: Isocratic elution, 60% MeOH/40% Water, 1.0 mL/min
# Column: C18, 250x4.6mm
# Detection: UV 254nm
# Notes: Reference experiment documentation in eLabFTW for complete method details
#
# Time(min)	Absorbance(mAU)
0.00	2.1
0.10	2.3
0.20	2.2
0.30	2.4
0.40	2.3
0.50	2.5
0.60	2.4
0.70	2.6
0.80	2.8
0.90	3.1
1.00	3.5
1.10	4.2
1.20	5.8
1.30	9.2
1.40	15.3
1.50	24.8
1.60	38.5
1.70	55.2
1.80	72.8
1.90	87.5
2.00	95.3
2.10	98.7
2.20	95.8
2.30	88.2
2.40	76.5
2.50	62.3
2.60	48.7
2.70	36.2
2.80	26.5
2.90	19.3
3.00	14.2
3.10	10.5
3.20	8.2
3.30	6.8
3.40	5.9
3.50	5.2
3.60	4.8
3.70	4.5
3.80	4.3
3.90	4.1
4.00	4.0
4.10	3.9
4.20	3.8
4.30	4.0
4.40	4.2
4.50	4.5
4.60	5.1
4.70	6.3
4.80	8.8
4.90	13.2
5.00	20.5
5.10	31.8
5.20	47.2
5.30	65.8
5.40	85.3
5.50	102.5
5.60	115.8
5.70	122.3
5.80	120.8
5.90	112.5
6.00	98.7
6.10	82.3
6.20	65.5
6.30	50.2
6.40	37.8
6.50	28.2
6.60	21.3
6.70	16.5
6.80	13.2
6.90	10.8
7.00	9.2
7.10	8.1
7.20	7.3
7.30	6.8
7.40	6.4
7.50	6.1
7.60	5.9
7.70	5.7
7.80	5.6
7.90	5.5
8.00	5.4
8.10	5.3
8.20	5.3
8.30	5.2
8.40	5.2
8.50	5.1
8.60	5.1
8.70	5.0
8.80	5.0
8.90	5.0
9.00	4.9
9.10	4.9
9.20	4.9
9.30	4.8
9.40	4.8
9.50	4.8
9.60	4.7
9.70	4.7
9.80	4.7
9.90	4.6
10.00	4.6
